Rank,School_Name,Programme,Type,2019_CutOff
96,Greendale Secondary School,O-levels,Co-ed,210
97,Hillgrove Secondary School ,O-levels,Co-ed,210
98,Meridian Secondary School ,O-levels,Co-ed,210
99,Woodgrove Secondary School ,O-levels,Co-ed,210
100,Jurong West Secondary School ,O-levels,Co-ed,209
101,Montfort Secondary School  ,O-levels,Boys,208
102,Tampines Secondary School  ,O-levels,Co-ed,208
103,Christ Church Secondary School ,O-levels,Co-ed,207
104,Yishun Secondary School ,O-levels,Co-ed,207
105,Seng Kang Secondary School ,O-levels,Co-ed,205
106,Admiralty Secondary School ,O-levels,Co-ed,203
107,Naval Base Secondary School ,O-levels,Co-ed,203
108,Hougang Secondary School ,O-levels,Co-ed,202
109,Punggol Secondary School ,O-levels,Co-ed,201
110,Regent Secondary School ,O-levels,Co-ed,201
111,Jurongville Secondary School ,O-levels,Co-ed,197
112,Westwood Secondary School ,O-levels,Co-ed,196
113,Greenridge Secondary School ,O-levels,Co-ed,195
114,Canberra Secondary School ,O-levels,Co-ed,193
115,New Town Secondary School ,O-levels,Co-ed,193
116,Juying Secondary School ,O-levels,Co-ed,192
117,Peicai Secondary School ,O-levels,Co-ed,189
118,Queenstown Secondary School ,O-levels,Co-ed,189
119,Assumption English School ,O-levels,Co-ed,188
120,Bartley Secondary School ,O-levels,Co-ed,188
121,Bedok Green Secondary School ,O-levels,Co-ed,188
122,Bendemeer Secondary School ,O-levels,Co-ed,188
123,Boon Lay Secondary School ,O-levels,Co-ed,188
124,Broadrick Secondary School ,O-levels,Co-ed,188
125,Bukit Merah Secondary School ,O-levels,Co-ed,188
126,Changkat Changi Secondary School ,O-levels,Co-ed,188
127,Damai Secondary School,O-levels,Co-ed,188
128,Dunearn Secondary School ,O-levels,Co-ed,188
129,East Spring Secondary School ,O-levels,Co-ed,188
130,Fajar Secondary School ,O-levels,Co-ed,188
131,Fuchun Secondary School ,O-levels,Co-ed,188
132,Guangyang Secondary School ,O-levels,Co-ed,188
133,Junyuan Secondary School ,O-levels,Co-ed,188
134,Loyang Secondary School,O-levels,Co-ed,188
135,Manjusri Secondary School ,O-levels,Co-ed,188
136,Marsiling Secondary School ,O-levels,Co-ed,188
137,Northbrooks Secondary School,O-levels,Co-ed,188
138,Northland Secondary School ,O-levels,Co-ed,188
139,Outram Secondary School ,O-levels,Co-ed,188
140,Ping Yi Secondary School ,O-levels,Co-ed,188
141,Sembawang Secondary School ,O-levels,Co-ed,188
142,Serangoon Garden Secondary School ,O-levels,Co-ed,188
143,Serangoon Secondary School,O-levels,Co-ed,188
144,Springfield Secondary School ,O-levels,Co-ed,188
145,Tanglin Secondary School ,O-levels,Co-ed,188
146,Teck Whye Secondary School ,O-levels,Co-ed,188
147,Whitley Secondary School ,O-levels,Co-ed,188
148,Woodlands Secondary School ,O-levels,Co-ed,188
149,Yio Chu Kang Secondary School,O-levels,Co-ed,188
150,Yuhua Secondary School ,O-levels,Co-ed,188
151,Yuying Secondary School ,O-levels,Co-ed,188
